id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1507287395703701545,1500098694481338370,2022-03-25 10:24:53 +01,2022-03-25,10:24:53,+0100,1344424991383760897,marchaismedy,Marchais_Médy,,"@AmbRusFrance @telegram @mfa_russia Faut dire à Poutine…qu’il a perdu la guerre.🖕🖕🖕et vive l’Ukraine 🇺🇦 son gaz et son pétrole, qu’il se le foute dans le cul.",fr,[],[],[],0,0,0,[],[],https://twitter.com/MarchaisMedy/status/1507287395703701545,False,,0,,,,,,,,"[{'screen_name': 'AmbRusFrance', 'name': 'Russie en France', 'id': '342709703'}, {'screen_name': 'telegram', 'name': 'Telegram Messenger', 'id': '1689053928'}, {'screen_name': 'mfa_russia', 'name': 'MFA Russia 🇷🇺', 'id': '255471924'}]",,,,
1507265572941279234,1507262488143970311,2022-03-25 08:58:10 +01,2022-03-25,08:58:10,+0100,231835056,wkpython,#FBPE #FBR #Resist,,"@andersostlund The import stop of Russian oil&amp;gaz is not off the table, it’s probably what prevents Russia from using WMD in Ukraine.",en,[],[],[],0,0,1,[],[],https://twitter.com/wkPython/status/1507265572941279234,False,,0,,,,,,,,"[{'screen_name': 'andersostlund', 'name': 'Anders Östlund', 'id': '21575717'}]",,,,
1507261288954667008,1507258289884647442,2022-03-25 08:41:09 +01,2022-03-25,08:41:09,+0100,1503792560866840581,dragan2sr,SrDragan,,@realGonzaloLira Guess what Russia will be even more rich thanks to this sanction for example Oil and gaz sold in black market are still higher than the price before the war and ukraine east where most of ressource are is taken by russia so even more money and commerce continue with China,en,[],[],[],1,0,2,[],[],https://twitter.com/Dragan2Sr/status/1507261288954667008,False,,0,,,,,,,,"[{'screen_name': 'realGonzaloLira', 'name': 'Gonzalo Lira', 'id': '1057187257558413312'}]",,,,
1507207545114570766,1507207545114570766,2022-03-25 05:07:35 +01,2022-03-25,05:07:35,+0100,1024662754345603072,holste_max,Max,,"Je ne comprends pourquoi la Russie poursuit ses acheminements de gaz, via l'#Ukraine qui perçoit des droits de passage. @mod_russia, il faut couper ce circuit qui profite à Kiev !",fr,"[{'screen_name': 'mod_russia', 'name': 'минобороны россии', 'id': '2742078001'}]",[],[],0,3,6,['ukraine'],[],https://twitter.com/holste_max/status/1507207545114570766,False,,0,,,,,,,,[],,,,
1507142800349052933,1507142800349052933,2022-03-25 00:50:19 +01,2022-03-25,00:50:19,+0100,1145143423579672576,haftron,🇷🇺 𝑻𝒂𝒓𝒌𝒐𝒗 Z V △ /,,"Pendant que #Zelinsky insulte nos entreprises et exige de cesser tout commerce avec la #Russie, l’Ukraine continue de toucher des millions grâce aux droits de transit du gaz russe qui traverse le pays.🤔 Si on est sérieux, ça pose quand même un problème, non ? Naïveté   #Russia",fr,[],[],[],0,0,0,"['zelinsky', 'russie', 'russia']",[],https://twitter.com/Haftron/status/1507142800349052933,False,https://twitter.com/melaniejoly/status/1507107524474032146,0,,,,,,,,[],,,,
1507014663631896593,1507014663631896593,2022-03-24 16:21:09 +01,2022-03-24,16:21:09,+0100,801795785117564928,laalamhakimus,hakim laalam,,"Emboîtant le pas à Poutine, Djidji exige que notre pétrole et notre gaz soient payés en dinars. Oh P… !!! #Algeriens #algerie #algeria #UkraineRussiaConflict #RussianUkrainianWar #RussiaUkraine #Poutine #petrole #gaz",fr,[],[],[],2,1,10,"['algeriens', 'algerie', 'algeria', 'ukrainerussiaconflict', 'russianukrainianwar', 'russiaukraine', 'poutine', 'petrole', 'gaz']",[],https://twitter.com/laalamhakimus/status/1507014663631896593,False,,0,,,,,,,,[],,,,
1506984725885370368,1506603841755750408,2022-03-24 14:22:11 +01,2022-03-24,14:22:11,+0100,2439049260,octopuslolol,Octopus 🐙,,"@Gaz_Good @mricardas @RubinReport @PrisonPlanet Hit me up when Russia drops depleted uranium on Ukraine, causing birth defects such as these.  https://t.co/0RkAJkHU8v",en,[],[],['https://pbs.twimg.com/media/FOninyGXIAQlZbn.jpg'],0,0,0,[],[],https://twitter.com/Octopuslolol/status/1506984725885370368,False,,1,https://pbs.twimg.com/media/FOninyGXIAQlZbn.jpg,,,,,,,"[{'screen_name': 'Gaz_Good', 'name': 'Gary Goodwin', 'id': '3653212229'}, {'screen_name': 'mricardas', 'name': 'Ricardas m', 'id': '1258778846'}, {'screen_name': 'RubinReport', 'name': 'Dave Rubin', 'id': '18379614'}, {'screen_name': 'PrisonPlanet', 'name': 'Paul Joseph Watson', 'id': '18643437'}]",,,,
1506898107535179779,1506893958089265156,2022-03-24 08:38:00 +01,2022-03-24,08:38:00,+0100,92319419,tordchancer,Captain Courtney,,"@GNev2 @RishiSunak Don't worry Gaz, his wife is still raking millions from Russia whilst they bomb the Ukraine to smithereens, he'll share some of that out soon...",en,[],[],[],0,0,0,[],[],https://twitter.com/TordChancer/status/1506898107535179779,False,,0,,,,,,,,"[{'screen_name': 'GNev2', 'name': 'Gary Neville', 'id': '287834630'}, {'screen_name': 'RishiSunak', 'name': 'Rishi Sunak', 'id': '1168968080690749441'}]",,,,
1506846880357134342,1506391305433325573,2022-03-24 05:14:26 +01,2022-03-24,05:14:26,+0100,1496711845876539397,douardmontfort1,Édouard Montfort,,"@KacperPaczek @serg___e @mfa_russia @EmmanuelMacron @KremlinRussia_E @FranceEnRussie @AmbRusFrance @sputnik_fr @franceonu @RussiaUN @mod_russia @MFA_Ukraine @RusembUkraine Poland relies x3 times more on Russian gaz than France, despite you're supposedly afraid of your neighbor. Who keeps paying the bills and financing the war ? Come back with the trash talking the day you're coherent. Thanks.",en,[],[],[],2,0,0,[],[],https://twitter.com/douardMontfort1/status/1506846880357134342,False,,0,,,,,,,,"[{'screen_name': 'KacperPaczek', 'name': 'KacPacz 🇵🇱', 'id': '1458189824947630080'}, {'screen_name': 'serg___e', 'name': 'Serge', 'id': '3329246418'}, {'screen_name': 'mfa_russia', 'name': 'MFA Russia 🇷🇺', 'id': '255471924'}, {'screen_name': 'EmmanuelMacron', 'name': 'Emmanuel Macron', 'id': '1976143068'}, {'screen_name': 'KremlinRussia_E', 'name': 'President of Russia', 'id': '205622130'}, {'screen_name': 'FranceEnRussie', 'name': 'France en Russie 🇫🇷🇪🇺', 'id': '2912809576'}, {'screen_name': 'AmbRusFrance', 'name': 'Russie en France', 'id': '342709703'}, {'screen_name': 'sputnik_fr', 'name': 'Sputnik France', 'id': '238080747'}, {'screen_name': 'franceonu', 'name': ""La France à l'ONU 🇫🇷🇪🇺"", 'id': '104227735'}, {'screen_name': 'RussiaUN', 'name': 'Russian Mission UN', 'id': '347443535'}, {'screen_name': 'mod_russia', 'name': 'Минобороны России', 'id': '2742078001'}, {'screen_name': 'MFA_Ukraine', 'name': 'MFA of Ukraine 🇺🇦', 'id': '143427448'}, {'screen_name': 'RusembUkraine', 'name': 'RusEmbassy Ukraine', 'id': '1256490685'}]",,,,
1506670497253240847,1506670497253240847,2022-03-23 17:33:33 +01,2022-03-23,17:33:33,+0100,1500340428276707331,boyerglobalm,BGM,,Si l’UE refuse de payer en rouble ➡️ l’UE n’a plus de gaz  - si l’UE accepte de payer en rouble ➡️ l’UE a du gaz MAIS elle soutient le rouble et annule les effets des sanctions contre la Russie  #RUB #NaturalGas #RussiaUkraine #Russie #Europe,fr,[],[],[],0,0,0,"['rub', 'naturalgas', 'russiaukraine', 'russie', 'europe']",[],https://twitter.com/boyerglobalm/status/1506670497253240847,False,,0,,,,,,,,[],,,,
