id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1507287246801895435,1507281381629771777,2022-03-25 10:24:18 +01,2022-03-25,10:24:18,+0100,795899346101252096,misslucy_2011,MissLucy,,@AlboMP Petrol is going up as Russia invaded Ukraine.  What would you do to change that? Subsidise the extra cost of fuel until that War ends?  Or Increase oil production? Will you allow Santos to drill this new oil they’ve discovered ⬇️. Or ban it?,en,[],[],[],0,0,0,[],[],https://twitter.com/MissLucy_2011/status/1507287246801895435,False,https://twitter.com/santosltd/status/1506828520261300226,0,,,,,,,,"[{'screen_name': 'AlboMP', 'name': 'Anthony Albanese', 'id': '254515782'}]",,,,
1507268376434987010,1506980764482777090,2022-03-25 09:09:19 +01,2022-03-25,09:09:19,+0100,1463215745450475529,mulaudzitsikoo,MulaudziTsikoo,,"@JBButhelezi1 @CritiqueAfrika @vngalwana Your support to Russia is clouding your Judgment, the invasion of Russia in Ukraine is reason why petrol price hike by this much   Take it or leave it",en,[],[],[],0,0,0,[],[],https://twitter.com/MulaudziTsikoo/status/1507268376434987010,False,,0,,,,,,,,"[{'screen_name': 'JBButhelezi1', 'name': 'JB Buthelezi', 'id': '1151863131972526082'}, {'screen_name': 'CritiqueAfrika', 'name': 'Zuba Tando', 'id': '1457920129338118145'}, {'screen_name': 'vngalwana', 'name': 'JudgeJohnDeed', 'id': '296528953'}]",,,,
1507262653752045570,1507245111561707530,2022-03-25 08:46:34 +01,2022-03-25,08:46:34,+0100,1314214367873835010,everyth05104135,i like minecraft frogs...,,"@Iamwakaas What our people dont understand is that petrol price in the International merket only just started going up during the Russia-Ukraine conflict, whilst our petrol prices were sky high even before that. Our Prime Minister uses this 'international market' excuse to better his image",en,[],[],[],0,0,1,[],[],https://twitter.com/Everyth05104135/status/1507262653752045570,False,,0,,,,,,,,"[{'screen_name': 'Iamwakaas', 'name': 'Waqas Iftikhar', 'id': '434836527'}]",,,,
1507252017323917315,1500716726119723008,2022-03-25 08:04:18 +01,2022-03-25,08:04:18,+0100,1496311316440498178,domesticbimbo,B,,@2021Some1 @JanetMackinnon7 @harrypeterson_ You say that as if many of these sectors haven’t been struggling for years... 🥴 didn’t the average house price in Auckland hit $1m in 2016? The average price of petrol before Russia invading Ukraine was nearly $2per litre anyway 🤮,en,[],[],[],0,0,0,[],[],https://twitter.com/domesticbimbo/status/1507252017323917315,False,,0,,,,,,,,"[{'screen_name': '2021Some1', 'name': 'Some1_2021', 'id': '1420098657047617536'}, {'screen_name': 'JanetMackinnon7', 'name': 'Janet Mackinnon', 'id': '894035071513919488'}, {'screen_name': 'harrypeterson_', 'name': 'Harry Peterson', 'id': '871312993308377088'}]",,,,
1507245305569239042,1507214378491392002,2022-03-25 07:37:38 +01,2022-03-25,07:37:38,+0100,886081094939852800,frank_giancola,Frank Giancola,,"@HeerJeet Can you do a sub stack or article about Canada's reaction to the Ukraine invasion?  Does the high number of Ukrainian Canadians make Canada's response more hawkish?  And does Canada like to stand-up to petrol producers, like the Saudis and Russia, because of their own oil biz?",en,[],[],[],0,0,0,[],[],https://twitter.com/frank_giancola/status/1507245305569239042,False,,0,,,,,,,,"[{'screen_name': 'HeerJeet', 'name': 'Jeet Heer', 'id': '604940737'}]",,,,
1507237251239256065,1507237251239256065,2022-03-25 07:05:38 +01,2022-03-25,07:05:38,+0100,1341836910465933312,sangritoday,Sangri Today,,"Petrol-diesel prices did not increase for 37 days, hence the loss of 19 thousand crores to oil companies   https://t.co/ih5o6nSCYA #PetrolDieselPrice #PekinExpress #India #news #Russia #Ukraine #USA",en,[],['https://www.sangritoday.com/business/petrol-diesel-prices-did-not-increase-for-37-days-hence-the-loss-of-19-thousand-crores-to-oil-companies'],[],0,0,1,"['petroldieselprice', 'pekinexpress', 'india', 'news', 'russia', 'ukraine', 'usa']",[],https://twitter.com/SangriToday/status/1507237251239256065,False,,0,,,,,,,,[],,,,
1507216326959448066,1507020800775585796,2022-03-25 05:42:29 +01,2022-03-25,05:42:29,+0100,1264921322259267585,dhruv_703,Dhruv...🌠,,"@SouravMahi12 @gopalsarswat1 @ippatel Oh collector aapiye, Russia Ukraine war kae baad rates upar huey hai. 80k ki bike mein ghumenge , 100 metre bhi jaana hai toh 2 wheeler chahiye, par petrol diesel free hona chahiye.",hi,[],[],[],0,0,1,[],[],https://twitter.com/Dhruv_703/status/1507216326959448066,False,,0,,,,,,,,"[{'screen_name': 'SouravMahi12', 'name': 'Sourav Kumar', 'id': '1959931644'}, {'screen_name': 'gopalsarswat1', 'name': 'Gopal bharadwaj', 'id': '350298180'}, {'screen_name': 'ippatel', 'name': 'Prashant Umrao', 'id': '285655507'}]",,,,
1507204648167350277,1506941238372896768,2022-03-25 04:56:05 +01,2022-03-25,04:56:05,+0100,1446037909815971840,mainkuchbolu,Rommie,,@dnameis_sHARATH @rahulroushan 85% fuel is imported and due to Russia Ukraine war intl prices up almost 30-40% . Worldwide all countries have increased prices. Our roads congested with vehicles and you want cheap petrol diesel 🤔,en,[],[],[],0,0,0,[],[],https://twitter.com/mainkuchbolu/status/1507204648167350277,False,,0,,,,,,,,"[{'screen_name': 'dnameis_sHARATH', 'name': 'Sharath', 'id': '113282299'}, {'screen_name': 'rahulroushan', 'name': 'Rahul Roushan', 'id': '66782978'}]",,,,
1507201338475945987,1507201338475945987,2022-03-25 04:42:56 +01,2022-03-25,04:42:56,+0100,1127812249,sharewealthgrp,Sharewealth,,"Investors continue to trade with caution amid uncertainties of Russia-Ukraine conflict. Markets might also react to the petrol/diesel price hike by 80 paisa, the third in four days. News based stock developments seen continuing with profit booking at each levels.",en,[],[],[],0,0,0,[],[],https://twitter.com/sharewealthgrp/status/1507201338475945987,False,,0,,,,,,,,[],,,,
1507189110905401345,1506928299909726208,2022-03-25 03:54:20 +01,2022-03-25,03:54:20,+0100,1266026346330951686,neepa231791,Neepa@23179,,"@VikashR24315814 @deshpremidilse @theskindoctor13 @ANI He is hidden mulla. Compares rssbjp with Isis. They r such big liers that they always come with hidden identity.. and try to penetrate.. kaise bhi kar ke.. be I petrol, inflation, aur kuch nahi to Russia Ukraine..  anyhow they want public to turn against bjp. One point agenda.",en,[],[],[],1,0,1,[],[],https://twitter.com/Neepa231791/status/1507189110905401345,False,,0,,,,,,,,"[{'screen_name': 'VikashR24315814', 'name': 'Vikash Raj', 'id': '1493471793385930756'}, {'screen_name': 'deshpremidilse', 'name': 'Deshpremi🙏🇮🇳🙏', 'id': '1256443013720469504'}, {'screen_name': 'theskindoctor13', 'name': 'THE SKIN DOCTOR', 'id': '797720168713441280'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}]",,,,
